"","","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards"
"Country","Year"," Seat-belts"," Seat-belt anchorages"," Frontal impact"," Side impact"," Electronic stability control"," Pedestrian protection"," Child seats"," Motorcycle"
"Lithuania"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Luxembourg"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Madagascar"," 2016","No","No","No","No","No","No","No","No"
"Malawi"," 2016","No","No","No","No","No","No","No","No"
"Malaysia"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Maldives"," 2016","No","No","No","No","No","No","No","No"
"Mali"," 2016","No","No","No","No","No","No","No","No"
"Malta"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Mauritania"," 2016","No","No","No","No","No","No","No","No"
"Mauritius"," 2016","No","No","No","No","No","No","No","No"
"Mexico"," 2016","Yes","No","No","No","No","No","No","No"
"Micronesia (Federated States of)"," 2016","No","No","No","No","No","No","No","No"
"Mongolia"," 2016","No","No","No","No","No","No","No","No"
"Montenegro"," 2016","No","No","No","No","No","No","No","No"
"Morocco"," 2016","No","No","No","No","No","No","No","No"
"Mozambique"," 2016","No","No","No","No","No","No","No","No"
"Myanmar"," 2016","No","No","No","No","No","No","No","No"
"Namibia"," 2016","No","No","No","No","No","No","No","No"
"Nepal"," 2016","No","No","No","No","No","No","No","No"
"Netherlands"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"New Zealand"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Niger"," 2016","No","No","No","No","No","No","No","No"
"Nigeria"," 2016","No","No","No","No","No","No","No","No"
"Norway"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"occupied Palestinian territory, including east Jerusalem"," 2016","No","No","No","No","No","No","No","No"
"Oman"," 2016","No","No","No","No","No","No","No","No"
"Pakistan"," 2016","No","No","No","No","No","No","No","No"
"Panama"," 2016","No","No","No","No","No","No","No","No"
"Papua New Guinea"," 2016","No","No","No","No","No","No","No","No"
"Paraguay"," 2016","No","No","No","No","No","No","No","No"
"Peru"," 2016","No","No","No","No","No","No","No","No"
"Philippines"," 2016","No","No","No","No","No","No","No","No"
"Poland"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Portugal"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Qatar"," 2016","No","No","No","No","No","No","No","No"
"Republic of Korea"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Republic of Moldova"," 2016","No","No","No","No","No","No","No","No"
"North Macedonia"," 2016","No","No","No","No","No","No","No","No"
"Romania"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Russian Federation"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Rwanda"," 2016","No","No","No","No","No","No","No","No"
"Saint Lucia"," 2016","No","No","No","No","No","No","No","No"
"Samoa"," 2016","No","No","No","No","No","No","No","No"
"San Marino"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Sao Tome and Principe"," 2016","No","No","No","No","No","No","No","No"
"Saudi Arabia"," 2016","No","No","No","No","No","No","No","No"
"Senegal"," 2016","No","No","No","No","No","No","No","No"
"Serbia"," 2016","No","No","No","No","No","No","No","No"
"Seychelles"," 2016","No","No","No","No","No","No","No","No"
"Singapore"," 2016","No","No","No","No","No","No","No","No"
"Slovakia"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Slovenia"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Solomon Islands"," 2016","No","No","No","No","No","No","No","No"
"Somalia"," 2016","No","No","No","No","No","No","No","No"
"South Africa"," 2016","No","Yes","No","No","Yes","Yes","Yes","No"
"South Sudan"," 2016","No","No","No","No","No","No","No","No"
"Spain"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Sri Lanka"," 2016","No","No","No","No","No","No","No","No"
"Sudan"," 2016","No","No","No","No","No","No","No","No"
"Suriname"," 2016","No","No","No","No","No","No","No","No"
"Sweden"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Switzerland"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Syrian Arab Republic"," 2016","No","No","No","No","No","No","No","No"
"Tajikistan"," 2016","No","No","No","No","No","No","No","No"
"Thailand"," 2016","Yes","Yes","No","No","No","Yes","No","No"
"Timor-Leste"," 2016","No","No","No","No","No","No","No","No"
"Togo"," 2016","No","No","No","No","No","No","No","No"
"Tonga"," 2016","No","No","No","No","No","No","No","No"
"Trinidad and Tobago"," 2016","No","No","No","No","No","No","No","No"
"Tunisia"," 2016","No","No","No","No","No","No","No","No"
"Turkey"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Turkmenistan"," 2016","No","No","No","No","No","No","No","No"
"Uganda"," 2016","No","No","No","No","No","No","No","No"
"Ukraine"," 2016","No","No","No","No","No","No","No","No"
"United Arab Emirates"," 2016","No","No","No","No","No","No","No","No"
"United Kingdom of Great Britain and Northern Ireland"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"United Republic of Tanzania"," 2016","No","No","No","No","No","No","No","No"
"United States of America"," 2016","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"Uruguay"," 2016","Yes","Yes","No","No","No","No","Yes","No"
"Uzbekistan"," 2016","No","No","No","No","No","No","No","No"
"Vanuatu"," 2016","No","No","No","No","No","No","No","No"
"Venezuela (Bolivarian Republic of)"," 2016","No","No","No","No","No","No","No","No"
"Viet Nam"," 2016","No","No","No","No","No","No","No","No"
"Zimbabwe"," 2016","No","No","No","No","No","No","No","No"
