,General information,,,Road traffic deaths,,,,Road user death (%),,,,,VEHICLE STANDARDS,,,,,,,,,,,,,,,National drink driving law,Based on BAC / BrAC,% road traffic deaths involving alcohol,National maximum legal BAC levels (g/dl),,,Motorcycle helmet law,,,,,,,Children passengers on motorcycles   ,,,number of registered vehicles,National mobile phone law,Mobile phone law ,,Modelled number of road traffic deathsd,,Estimated road traffic death rate per 100 000 populationd ,National speed limit law,Maximum default speed limits (km/h),,,Provider training and certification ,,,
Country/Area,Population numbers for 2016a,GNI per capita for 2016 in US dollarsb,Income levelc,Reported number of road traffic deaths,Modelled number of road traffic deathsd,,Estimated road traffic death rate per 100 000 populationd ,Drivers/ Passengers of 4-wheeled vehicles,Drivers/Passengers of 2- or 3- wheelers,Cyclists,Pedestrians,Other or unspecified users,,,,,,,,,Child restraint systems law,"National seat
belt law",Seat-belt wearing rates (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prehospital providers,Nurses,Specialist doctors,
,,,,,Point estimate,95% Confidence Interval,,,,,,,Seat-belts,Seat-belt anchorages,Frontal impact,Side impact, Electronic stability control,Pedestrian protection,Child seats,Motorcycle anti-lock bracking system,National child restraint law,,Drivers only ,, Front-seat occupants,Rear-seat occupants,All occupants,,,,General population , Young / novice drivers,Professional / commercial drivers,National motorcycle helmet law,Applies to driver,"Applies to adult
passengers",Applies to all roads,Applies to all engines,Helmet fastening required,Standard referred to and / or specified,,,,,,Applies to hand-held phone use,Applies to hands-free phone use,Point estimate,95% Confidence Interval,,,urban,rural,motorways,Formal certification pathway,Post graduate courses in emergency and trauma care,Emergency medicine ,Trauma surgery
Ethiopia,102403200,660,Low,4352e,27326,21494 - 33159,26.7,0,0,0,36.7,63.3,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,4.3,≤ 0.08,≤ 0.08,≤ 0.08,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,708416,Yes,Yes,Yes,27326,21494 - 33159,26.7,Yes,60,70,100,No,No,Yes,No
Fiji,898760,4840,Middle,60,86, - ,9.6,63.3h,0,0,36.7,0,No,No,No,No,No,No,No,No,Yes,Yes,90,,75.0,5.0,72.0,Yes,Yes,5,≤0.08,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 8 yrs,,,110763,Yes,Yes,Yes,86, - ,9.6,Yes,50,80,−,Yes,Yes,Yes,Yes
Finland,5503132,44730,High,252,260, - ,4.7,64.7,8.7,9.5,10.7,6.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,96,,95.0,85.0,94.0,Yes,Yes,24,<0.05,<0.05,<0.05,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,5217850,Yes,Yes,No,260, - ,4.7,Yes,50,80,120,-,-,-,-
France,64720688,38950,High,3477,3585, - ,5.5,54.4,21.1,4.7,16.1,3.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,98.0,88.0,0.0,Yes,Yes,29,<0.05,<0.02,<0.05 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,42363000,Yes,Yes,No,3585, - ,5.5,Yes,50,90,130,Yes,No,Yes,No
Gabon,1979786,7210,Middle,54i,460,382 - 538,23.2,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,No,No,No,Prohibited under 5 yrs,,,0,Yes,Yes,Yes,460,382 - 538,23.2,Yes,60,110,No,No,No,No,No
Gambia,2038501,440,Low,139,605,484 - 726,29.7,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,Yes,0,,0.0,0.0,0.0,Yes,No,2.1,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,84963,Yes,Yes,No,605,484 - 726,29.7,Yes,No ,No,No,Yes,No,Yes,Yes
Georgia,3925405,3810,Middle,581,599, - ,15.3,44.9,0.5,0.7,26.5,27.4,No,No,No,No,No,No,No,No,No,Yes,70,,60.0,0.0,0.0,Yes,Yes,9,≤ 0.03,≤ 0.03,≤ 0.03,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 12 yrs,,,1126470,Yes,Yes,No,599, - ,15.3,Yes,60,90,110,Yes,Yes,Yes,Yes
Germany,81914672,43660,High,3206,3327, - ,4.1,47.8,18.8,12.3,15.3,5.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,98,,98.0,99.0,98.0,Yes,Yes,7,<0.05,0.00,<0.05,Yes,Yes,Yes,Yes,No,No,No,Not restricted,,,56622000,Yes,Yes,No,3327, - ,4.1,Yes,50,100,No,Yes,Yes,Yes,Yes
Ghana,28206728,1380,Middle,1802e,7018,6056 - 7980,24.9,12,17.9,3.3,46.1,20.7,No,No,No,No,No,No,No,No,No,Yes,55.6,,18.4,3.5,35.0,Yes,Yes,–,≤ 0.08,≤ 0.08,≤ 0.08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,2066943,Yes,Yes,No,7018,6056 - 7980,24.9,Yes,50,90,100,Yes,Yes,No,No
Greece,11183716,18960,High,824,1026, - ,9.2,40.3,32.4,2.2,18.1,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,77,,74.0,23.0,72.0,Yes,Yes,25.3,< 0.05,< 0.05,< 0.05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 5 yrs,,,9489299,Yes,Yes,No,1026, - ,9.2,Yes,50,90,130,No,No,No,No
Grenada,107317,8830,Middle,10,10, - ,9.3,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,27266,No,−,−,10, - ,9.3,Yes,32,64,No,Yes,Yes,Yes,Yes
Guatemala,16582469,3790,Middle,2058,2758, - ,16.6,19.4,32.7,0.4,39.2,8.3,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,3250194,Yes,Yes,No,2758, - ,16.6,Yes,60,80,100,No,No,No,No
Guinea,12395924,490,Low,458,3490,2903 - 4077,28.2,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,<0.08,<0.08,<0.08,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,259731,Yes,Yes,No,3490,2903 - 4077,28.2,No,−,−,−,No,No,No,No
Guinea-Bissau,1815698,620,Low,122,565,465 - 664,31.1,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,≤0.05,≤0.05,≤0.05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 6 yrs,,,62239,Yes,Yes,No,565,465 - 664,31.1,Yes,50,80,100,Yes,Yes,Yes,No
Guyana,773303,4250,Middle,128,190, - ,24.6,24.2,21.9,12.5,29.7,11.7,No,No,No,No,No,No,No,No,Yes,Yes,95,,95.0,0.0,42.0,Yes,Yes,17,≤ 0.08,≤ 0.08,≤ 0.08,No,—,—,—,—,—,—,Not restricted,,,15694,Yes,Yes,No,190, - ,24.6,Yes,64,64,No,Yes,-,-,-
Honduras,9112867,2150,Middle,1407,1525,1388 - 1661,16.7,18.6,24.3,4.1,27.9,25.1,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,6.8,<0.07,<0.07,<0.07,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,1694504,Yes,Yes,Yes,1525,1388 - 1661,16.7,Yes,−,−,−,Yes,Yes,Yes,Yes
Hungary,9753281,12570,High,607,756, - ,7.8,44.3,10.5,12,25,8.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,81.7,,82.8,38.5,81.0,Yes,Yes,7.1,0.00,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,4022798,Yes,Yes,No,756, - ,7.8,Yes,50,90,130,Yes,Yes,Yes,No
Iceland,332474,56990,High,18,22, - ,6.6,72.2,11.1,0,11.1,5.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90,,93.0,86.0,90.0,Yes,Yes,14,<0.05,<0.05,<0.05,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,289501,Yes,Yes,No,22, - ,6.6,Yes,50,90,100,Yes,No,Yes,Yes
India,1324171392,1680,Middle,150785,299091, - ,22.6,17.9,39.6,1.7,10.4,30.4,Yes,Yes,Yes,Yes,No ,Yes,No,Yes,No,Yes,14,,3.5,0.0,0.0,Yes,Yes,4.1,≤ 0.03,≤ 0.03,≤ 0.03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,210023289 ,Yes,Yes,Yes,299091, - ,22.6,Yes,100,100,100,Yes,Yes,Yes,Yes
Indonesia,261115456,3400,Middle,31282,31726,27277 - 36176,12.2,4.9,73.6,3.2,15.5,2.7,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,69.0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,128398594,Yes,No,No,31726,27277 - 36176,12.2,Yes,50,80,100,Yes,Yes,Yes,Yes
Iran (Islamic Republic of),80277424,6530g,Middle,15932,16426, - ,20.5,48.7,24.1,0.6,21.6,5,No,No,No,No,No,No,No,No,No,Yes,95,,93,15,68.5,Yes,No,1.7,—,—,—,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,30377065,Yes,Yes,Yes,16426, - ,20.5,Yes,60,95,120,Yes,No,Yes,Yes
Iraq,37202572,5430,Middle,4134,7686,6548 - 8824,20.7,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,–,—,—,—,Yes,Yes,No,Yes,Yesf,No,No,Not restricted,,,5775777,Yes,Yes,Yes,7686,6548 - 8824,20.7,Yes,60,100,120,Yes,Yes,Yes,No
Ireland,4726078,52560,High,188,194, - ,4.1,62.2,11.7,5.3,18.6,2.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,92,,94,74,91,Yes,Yes,38.5,≤ 0.05,≤ 0.02,≤ 0.02,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,2573961,Yes,Yes,No,194, - ,4.1,Yes,50,100,120,Yes,Yes,Yes,Yes
Israel,8191828,36190,High,335,345, - ,4.2,46.3,12.2,2.7,28.7,10.1,Yes,YES,Yes,Yes,Yes,No,Yes,No,Yes,Yes,91.2,,88.7,69.7,87.9,Yes,Yes,3.6,≤ 0.05,≤ 0.01,≤ 0.01,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,3239305,Yes,Yes,No,345, - ,4.2,Yes,50,80,110,Yes,No,Yes,Yes
Italy,59429936,31590,High,3428e,3333, - ,5.6,42.8,25.6,7.3,17.6,6.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,61.9,15.4,0,Yes,Yes,20 - 25,≤0.05,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 5 yrs,,,52581575,Yes,Yes,No,3333, - ,5.6,Yes,50,110,150,No,Yes,Yes,No
Jamaica,2881355,4660,Middle,379,391, - ,13.6,33,28.8,8.4,22.2,7.7,No,No,No,No,No,No,No,No,Yes,Yes,51,,54,4,0,Yes,Yes,–,≤ 0.08,≤ 0.08,≤ 0.08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,"541,316",No,−,−,391, - ,13.6,Yes,48,80,No,Yes,Yes,Yes,Yes
Japan,127748512,38000,High,4682,5224, - ,4.1,32.4,17.2,15.1,35,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,99.5,,98,71.8,94.9,Yes,Yes,5.6,<0.03,<0.03,<0.03,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,81602046,Yes,Yes,No,5224, - ,4.1,Yes,60,60,100,Yes,Yes,Yes,Yes
Jordan,9455802,3920,Middle,750,2306,1926 - 2686,24.4,71.3h,0,0,28.7,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,<0.08,<0.08,<0.08,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,1502420,Yes,Yes,No,2306,1926 - 2686,24.4,Yes,90,120,120,Yes,Yes,Yes,Yes
Kazakhstan,17987736,8710,Middle,2625,3158, - ,17.6,59.8,4.3,1.7,30.9,3.3,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,Yes,0.3,<0.05,<0.05,<0.05,Yes,Yes,Yes,Yes,No,Yes,No,Prohibited under 12 yrs,,,4383120,Yes,Yes,No,3158, - ,17.6,Yes,60,110,140,No,Yes,No,No
Kenya,48461568,1380,Middle,2965,13463,11486 - 15440,27.8,36.4h,24.2,2.4,37,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,2979910,Yes,Yes,No,13463,11486 - 15440,27.8,Yes,50,100,110,Yes,Yes,Yes,Yes
Kiribati,114395,2380,Middle,5,5,,4.4,40,20,0,40,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,≤0.05,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,3706,Yes,Yes,No,5,,4.4,Yes,40,60,60,Yes,Yes,Yes,No
Kuwait,4052584,41680g,High,424,715, - ,17.6,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,2001940,Yes,Yes,No,715, - ,17.6,Yes,45,80,80,Yes,Yes,Yes,Yes
Kyrgyzstan,5955734,1100,Middle,812,916, - ,15.4,27.6,2.1,0.2,40,30,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 12 yrs,,,993000,Yes,Yes,No,916, - ,15.4,Yes,60,90,110,Yes,Yes,Yes,Yes
Lao People’s Democratic Republic,6758353,2150,Middle,1086,1120,946 - 1294,16.6,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,Yes,–,≤0.05,≤0.05,0.00,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,1850020,Yes,Yes,Yes,1120,946 - 1294,16.6,Yes,40,90,−,Yes,Yes,Yes,Yes
Latvia,1970530,14630,High,158,184, - ,9.3,44.9,12,4.4,34.8,3.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,81,,84.7,53.0,0,Yes,Yes,10.8,≤ 0.05,≤ 0.02,≤ 0.02,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 150 cm,,,803628,Yes,Yes,No,184, - ,9.3,Yes,50,90,No,No,Yes,Yes,Yes
Lebanon,6006668,7680,Middle,576e,1090,837 - 1396,18.1,42.4h,20.7,0,37,0,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,Yes,–,≤ 0.05,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 10 yrs,,,1866407,Yes,Yes,Yes,1090,837 - 1396,18.1,Yes,50,70,100,Yes,No,No,No
Lesotho,2203821,1210,Middle,318,638,544 - 733,28.9,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,60,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,No,No,No,Not restricted,,,0,No,−,−,638,544 - 733,28.9,Yes,50,80,No,-,No,No,No
Liberia,4613823,370,Low,175,1657,1299 - 2015,35.9,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,0,,0,0,0,Yes,Yes,–,<0.15 ,<0.15 ,<0.15 ,Yes,Yes,Yes,Yes,Yes,No,No,Prohibited under 13 yrs,,,1085075,No,−,−,1657,1299 - 2015,35.9,Yes,40,56,72,Yes,Yes,Yes,Yes
Libya,6293253,4730g,Middle,2414,1645,1234 - 2171,26.1,75,1.9,2.3,20.8,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,1.2,—,—,—,Yes,No,No,Yes,Yes,No,No,Not restricted,,,3553497,Yes,No,No,1645,1234 - 2171,26.1,Yes,50,85,100,No,Yes,Yes,Yes
Lithuania,2908249,14770,High,192,234, - ,8,46.4h,5.7,8.9,38,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,97,30,94,Yes,Yes,9.6,≤0.04,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 12 yrs,,,1391568,Yes,Yes,No,234, - ,8,Yes,50,90,130,No,Yes,No,No
Luxembourg,575747,76660,High,32,36, - ,6.3,62.5,9.4,3.1,25,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,93,,90,76,92,Yes,Yes,14,< 0.05,< 0.02,< 0.02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 12 yrs,,,466472,Yes,Yes,No,36, - ,6.3,Yes,50,90,130,No,Yes,Yes,Yes
Madagascar,24894552,400,Low,340,7108,5895 - 8321,28.6,52.9h,0,0,47.1,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,<0.08,<0.08,<0.08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,236979,Yes,Yes,No,7108,5895 - 8321,28.6,Yes,50,No,No,No,No,No,No
Malawi,18091576,320,Low,1122,5601,4590 - 6612,31,31.1,3.2,16,49.6,0.1,No,No,No,No,No,No,No,No,No,Yes,25.8,,21,0,0,Yes,Yes,–,<0.08,<0.08,<0.08,Yes,Yes,Yes,Yes,Yes,Yes,No,Not restricted,,,0,Yes,Yes,No,5601,4590 - 6612,31,Yes,50,80,100,Yes,Yes,Yes,Yes
Malaysia,31187264,9850,Middle,7152,7374,6482 - 8266,23.6,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,82.9,,73.8,9.6,48.4,Yes,Yes,0.1,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,27613120,Yes,Yes,No,7374,6482 - 8266,23.6,Yes,90,90,110,No,No,No,No
Maldives,427756,7430,Middle,4,4, - ,0.9,0,75,0,25,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,No,No,–,—,—,—,Yes,No,No,No,Yes,No,No,Not restricted,,,92983,Yes,Yes,No,4, - ,0.9,Yes,30,30,No,No,No,No,No
Mali,17994836,750,Low,541,4159,3404 - 4914,23.1,27.9,42.3,2.4,11.5,15.9,No,No,No,No,No,No,No,No,No,Yes,20,,0,0,0,Yes,Yes,0.4,<0.03,<0.03,<0.03,Yes,Yes,Yes,Yes,No,Yes,Yes,Not restricted,,,344345,Yes,Yes,No,4159,3404 - 4914,23.1,Yes,50,90,110,Yes,No,Yes,Yes
Malta,429362,24140,High,22,26, - ,6.1,18.2,40.9,4.5,27.3,9.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,0,0,Yes,Yes,–,≤ 0.05,≤ 0.02,≤ 0.02l,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,358947,Yes,Yes,No,26, - ,6.1,Yes,50,80,No,No,No,No,No
Mauritania,4301018,1120,Middle,184,1064,891 - 1236,24.7,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,0,Yes,Yes,Yes,1064,891 - 1236,24.7,Yes,80,100,100,Yes,Yes,Yes,Yes
Mauritius,1262132,9760,Middle,144,173, - ,13.7,16.7,45.8,6.9,30.6,0,No,No,No,No,No,No,No,No,No,Yes,93.8,,97.4,0.2,0,Yes,Yes,23.6,≤0.05,≤0.05,≤0.05,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,507676,Yes,Yes,Yes,173, - ,13.7,Yes,90,90,110,Yes,Yes,Yes,Yes
Mexico,127540424,9040,Middle,16039e,16725, - ,13.1,18.4h,9.6,1.1,28.5,42.4,Yes,No,No,No,No,No,No,No,No,No,81.4,,49,5.6,58.9,Yes,No,19.5,—,—,—,No,No,No,No,No,No,No,Not restricted,,,40205671,No,No,No,16725, - ,13.1,Yes,20 - 70   ,20 - 90  ,45 - 110 ,No,No,-,-
Micronesia (Federated States of),104937,3680,Middle,2,2,,1.9,50,0,0,50,0,No,No,No,No,No,No,No,No,No,No,0,,0,0,0,Yes,No,100,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,5673,No,−,−,2,,1.9,Yesac,40,40,40,No,Yes,Yes,Yes
Mongolia,3027398,3550,Middle,484,499,471 - 527,16.5,39.3,18.6,1.2,28.7,12.2,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,25,<0.04o,<0.04o,<0.04o,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,841537,Yes,Yes,No,499,471 - 527,16.5,Yes,60,80,100,Yes,No,Yes,Yes
Montenegro,628615,6970,Middle,65,67, - ,10.7,64.6,15.4,1.5,13.8,4.6,No,No,No,No,No,No,No,No,Yes,Yes,60,,40,5,35,Yes,Yes,–,≤0.03,0.00,≤0.03,Yes,Yes,Yes,Yes,Yes,Yes,Yesl,Prohibited under 12 yrs,,,211219,Yes,Yes,Yes,67, - ,10.7,Yes,50,80,130,No,No,Yes,Yes
Morocco,35276784,2850,Middle,3785,6917,6109 - 7726,19.6,31.2,28.7,5.9,26.3,7.9,No,No,No,No,No,No,No,No,No,Yes,66.7,,63.2,22.3,64,Yes,Yes,3.7,<0.02,<0.02,<0.02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,3791469,Yes,Yes,No,6917,6109 - 7726,19.6,Yes,60,100,120,No,No,Yes,No
Mozambique,28829476,480,Low,1379,8665,7081 - 10250,30.1,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,Yes,–,<0.06,<0.06,<0.06 ****,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 7 yrs,,,698864,Yes,Yes,No,8665,7081 - 10250,30.1,Yes,60,120,No,No,Yes,Yes,Yes
Myanmar,52885224,1190g,Middle,4887,10540,8860 - 12219,19.9,10.8,64.8,3.1,14.2,7.1,No,No,No,No,No,No,No,No,No,Yes,7.4,,0,0,0,Yes,No,21.4,—,—,—,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited until footrests can be reached,,,6381136,No,−,−,10540,8860 - 12219,19.9,Yes,48,80,No,Yes,-,No,No
Namibia,2479713,4620,Middle,731,754,633 - 875,30.4,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,3.9,≤0.079,≤0.079,≤0.079,Yes,Yes,Yes,Yes,Yes,Yes,No,Not restricted,,, 371 281,Yes,Yes,No,754,633 - 875,30.4,Yes,60,120,120,No,No,No,No
Nepal,28982772,730,Low,2006e,4622,3928 - 5317,15.9,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,2339169,No,−,−,4622,3928 - 5317,15.9,Yes,40,80,80,No,Yes,Yes,Yes
Netherlands,16987330,46310,High,621e,648, - ,3.8,38,21.4,29.8,9.2,1.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,96.9,,96.6,82,95.8,Yes,Yes,11 - 24,≤ 0.05,≤ 0.02,≤ 0.05,Yes,Yes,Yes,Yes,No,Yes,Yes,Not restricted,,,10757655,Yes,Yes,No,648, - ,3.8,Yes,50,80,130,Yes,Yes,Yes,No
New Zealand,4660833,39070,High,327,364, - ,7.8,68.5,15.9,1.5,7.6,6.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,97,,97,92,0,Yes,Yes,27,≤0.05,0.00,≤0.05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,3656300,Yes,Yes,No,364, - ,7.8,Yes,50,100,100,Yes,Yes,No,No
Niger,20672988,370,Low,978,5414,4273 - 6554,26.2,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,0,,0,0,0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,436420,Yes,Yes,Yes,5414,4273 - 6554,26.2,Yes,50,No,No,Yes,Yes,Yes,Yes
Nigeria,185989632,2450,Middle,5053,39802,32076 - 47529,21.4,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,Yes,0.5,≤0.05p,≤0.002q,≤0.00r,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,11733425,Yes,Yes,Yes,39802,32076 - 47529,21.4,Yes,50,80,100,Yes,Yes,Yes,Yes
Norway,5254694,82330,High,135,143, - ,2.7,49.6,17,8.9,11.9,12.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,95.9,,95.2,0,94.7,Yes,Yes,13,≤ 0.02,≤ 0.02,≤ 0.02,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,3969612,Yes,Yes,No,143, - ,2.7,Yes,50,80,100,Yes,Yes,Yes,Yes
Oman,4424762,18080g,High,692,713, - ,16.1,64.7,3.9,0.7,22.5,8.1,No,No,No,No,No,No,No,No,Yes,Yes,98,,0,0,0,Yes,No,0.7,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,1370913,Yes,Yes,No,713, - ,16.1,Yes,−,−,−,No,No,No,No
Pakistan,193203472,1510,Middle,4448e,27582,23243 - 31920,14.3,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,18352500,Yes,Yes,No,27582,23243 - 31920,14.3,Yes,90,110,130,Yes,Yes,Yes,No
Panama,4034119,12140,Middle,440,575, - ,14.3,32.3,4.4,5.7,40,17.5,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,≤ 0.05,≤ 0.05,≤ 0.05,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,1288573,Yes,Yes,Yes,575, - ,14.3,yes,80,100,120,Yes,No,Yes,Yes
Papua New Guinea,8084991,2160g,Middle,158,1145,991 - 1298,14.2,52.5,0,0,47.5,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,56,—,—,—,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,"100,993",No,−,−,1145,991 - 1298,14.2,Yes,60,75,−,No,No,Yes,Yes
Paraguay,6725308,4070,Middle,1202,1529, - ,22.7,16.5,52.2,0.2,22.5,8.7,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,Yes,–,0.00,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 12 yrs,,,1871947,Yes,Yes,Yes,1529, - ,22.7,Yes,50,110,110,No,Yes,Yes,Yes
