,General information,,,Road traffic deaths,,,,Road user death (%),,,,,VEHICLE STANDARDS,,,,,,,,,,,,,,,National drink driving law,Based on BAC / BrAC,% road traffic deaths involving alcohol,National maximum legal BAC levels (g/dl),,,Motorcycle helmet law,,,,,,,Children passengers on motorcycles   ,,,number of registered vehicles,National mobile phone law,Mobile phone law ,,Modelled number of road traffic deathsd,,Estimated road traffic death rate per 100 000 populationd ,National speed limit law,Maximum default speed limits (km/h),,,Provider training and certification ,,,
Country/Area,Population numbers for 2016a,GNI per capita for 2016 in US dollarsb,Income levelc,Reported number of road traffic deaths,Modelled number of road traffic deathsd,,Estimated road traffic death rate per 100 000 populationd ,Drivers/ Passengers of 4-wheeled vehicles,Drivers/Passengers of 2- or 3- wheelers,Cyclists,Pedestrians,Other or unspecified users,,,,,,,,,Child restraint systems law,"National seat
belt law",Seat-belt wearing rates (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prehospital providers,Nurses,Specialist doctors,
,,,,,Point estimate,95% Confidence Interval,,,,,,,Seat-belts,Seat-belt anchorages,Frontal impact,Side impact, Electronic stability control,Pedestrian protection,Child seats,Motorcycle anti-lock bracking system,National child restraint law,,Drivers only ,, Front-seat occupants,Rear-seat occupants,All occupants,,,,General population , Young / novice drivers,Professional / commercial drivers,National motorcycle helmet law,Applies to driver,"Applies to adult
passengers",Applies to all roads,Applies to all engines,Helmet fastening required,Standard referred to and / or specified,,,,,,Applies to hand-held phone use,Applies to hands-free phone use,Point estimate,95% Confidence Interval,,,urban,rural,motorways,Formal certification pathway,Post graduate courses in emergency and trauma care,Emergency medicine ,Trauma surgery
Barbados,284996,14830,High,9,16, - ,5.6,33.3,33.3,0,22.2,11.1,No,No,No,No,No,No,No,No,Yes,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,≤ 0.08,≤ 0.08,≤ 0.08,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,117104,Yes,Yes,No,16, - ,5.6,Yes,80,80,80,Yes,No,Yes,Yes
Belarus,9480042,5600,Middle,588,841, - ,8.9,48.5,0,9.2,41.3,1,No,No,No,No,No,No,No,No,Yes,Yes,0,,0.0,0.0,0.0,Yes,Yes,14.3,<0.03,<0.03,<0.03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 12 yrs,,,4192291,Yes,Yes,No,841, - ,8.9,Yes,60,90,110,No,No,Yes,Yes
Belgium,11358379,41860,High,637,657, - ,5.8,57.1,14.4,11.1,12.2,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,91.5,,92.2,85.5,91.7,Yes,Yes,–,<0.05,<0.05,<0.02,Yes,Yes,Yes,Yes,Yes,No,Yes,Prohibited under 3 /8 yrs,,,7330718,Yes,Yes,No,657, - ,5.8,Yes,50,90,120,Yes,Yes,Yes,Yes
Belize,366954,4410,Middle,101,104, - ,28.3,18.8,19.8,11.9,24.8,24.8,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,No,Yes,Yes,No,Not restricted,,,56094,No,−,−,104, - ,28.3,Yes,40,88,88,No,No,No,No
Benin,10872298,820,Low,637e,2986,2458 - 3514,27.5,16.8,56.5,0.8,16.8,9.1,No,No,No,No,No,No,No,No,No,No,0,,0.0,0.0,0.0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,Yes,No,Not restricted,,,469761,Yes,Yes,Yes,2986,2458 - 3514,27.5,No,−,−,−,Yes,Yes,Yes,Yes
Bhutan,797765,2510,Middle,125,139,121 - 157,17.4,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,≤ 0.08,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,86981,Yes,Yes,No,139,121 - 157,17.4,Yes,30,50,50,Yes,No,Yes,Yes
Bolivia (Plurinational State of),10887882,3070,Middle,1259,1687,1532 - 1842,15.5,60.8,19.7,0,2.5,17.1,No,No,No,No,No,No,No,No,No,Yes,20.8,,3.5,0.5,9.7,Yes,Yes,6.4,≤0.05,≤0.05,≤0.05,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,1711005,No,−,−,1687,1532 - 1842,15.5,Yes,40,80,80,No,Yes,Yes,No
Bosnia and Herzegovina,3516816,4880,Middle,318,552,500 - 603,15.7,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,Yes,48,,51.0,11.0,0.0,Yes,Yes,20.8,≤0.03,0.00,0.00,Yes,Yes,Yes,Yes,Yes,No,No,Prohibited under 12 yrs,,,978229 ,Yes,Yes,No,552,500 - 603,15.7,Yes,50,80,130,Yes,No,Yes,Yes
Botswana,2250260,6610,Middle,450,535,465 - 606,23.8,63.1,0,2,24.7,10.2,No,No,No,No,No,No,No,No,Yes,Yes,0,,0.0,0.0,0.0,Yes,Yes,3.8,≤0.05,≤0.05,≤0.025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,653274,Yes,Yes,No,535,465 - 606,23.8,Yes,60,80,120,-,Yes,Yes,No
Brazil,207652864,8840,Middle,38651e,41007, - ,19.7,23.2,31.4,3.4,18.1,24,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,0,,79.4,50.2,0.0,Yes,Yes,–,0.00,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 7 yrs,,,93867016,Yes,Yes,Yes,41007, - ,19.7,Yes,80,60,110,No,Yes,Yes,Yes
