"","","Applicability of national motorcycle helmet law to all occupants","Applicability of national motorcycle helmet law to all occupants","Applicability of national motorcycle helmet law to all occupants"
"Country","Year"," Drivers"," Adult passengers"," Child passengers"
"Morocco"," 2017","Yes","Yes","Not restricted"
"Mozambique"," 2017","Yes","Yes","Prohibited under 7 yrs"
"Myanmar"," 2017","Yes","Yes","Prohibited until footrests can be reached"
"Namibia"," 2017","Yes","Yes","Not restricted"
"Nepal"," 2017","Yes","Yes","Not restricted"
"Netherlands"," 2017","Yes","Yes","Not restricted"
"New Zealand"," 2017","Yes","Yes","Not restricted"
"Niger"," 2017","Yes","Yes","Not restricted"
"Nigeria"," 2017","Yes","Yes","Not restricted"
"Norway"," 2017","Yes","Yes","Not restricted"
"occupied Palestinian territory, including east Jerusalem"," 2017","Yes","Yes","Not restricted"
"Oman"," 2017","Yes","Yes","Not restricted"
"Pakistan"," 2017","Yes","Yes","Not restricted"
"Panama"," 2017","Yes","Yes","Not restricted"
"Papua New Guinea"," 2017","Yes","Yes","Not restricted"
"Paraguay"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Peru"," 2017","Yes","Yes","Not restricted"
"Philippines"," 2017","Yes","Yes","Not restricted"
"Poland"," 2017","Yes","Yes","Not restricted"
"Portugal"," 2017","Yes","Yes","Prohibited under 7 yrs"
"Qatar"," 2017","Yes","Yes","Not restricted"
"Republic of Korea"," 2017","Yes","Yes","Not restricted"
"Republic of Moldova"," 2017","Yes","Yes","Prohibited under 12 yrs"
"North Macedonia"," 2017","Yes","Yes","Not restricted"
"Romania"," 2017","Yes","Yes","Prohibited under 14 yrs"
"Russian Federation"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Rwanda"," 2017","Yes","Yes","Not restricted"
"Saint Lucia"," 2017","Yes","Yes","Not restricted"
"Samoa"," 2017","Yes","Yes","Not restricted"
"San Marino"," 2017","Yes","Yes","Not restricted"
"Sao Tome and Principe"," 2017","Yes","Yes","Prohibited under 7 yrs"
"Saudi Arabia"," 2017","Yes","Yes","Prohibited under 16 yrs"
"Senegal"," 2017","No","Yes","Not restricted"
"Serbia"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Seychelles"," 2017","Yes","Yes","Prohibited under 10 yrs"
"Singapore"," 2017","Yes","Yes","Prohibited under 10 yrs"
"Slovakia"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Slovenia"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Solomon Islands"," 2017","Yes","Yes","Not restricted"
"Somalia"," 2017","—","—","Not restricted"
"South Africa"," 2017","Yes","Yes","Not restricted"
"South Sudan"," 2017","—","—","Not restricted"
"Spain"," 2017","Yes","Yes","Prohibited under 7 / 12 yrs"
"Sri Lanka"," 2017","Yes","Yes","Not restricted"
"Sudan"," 2017","Yes","Yes","Not restricted"
"Suriname"," 2017","Yes","Yes","Not restricted"
"Sweden"," 2017","Yes","Yes","Not restricted"
"Switzerland"," 2017","Yes","Yes","Not restricted"
"Syrian Arab Republic"," 2017","Yes","No","Not restricted"
"Tajikistan"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Thailand"," 2017","Yes","Yes","Not restricted"
"Timor-Leste"," 2017","Yes","Yes","Not restricted"
"Togo"," 2017","Yes","Yes","Not restricted"
"Tonga"," 2017","Yes","Yes","Not restricted"
"Trinidad and Tobago"," 2017","Yes","Yes","Not restricted"
"Tunisia"," 2017","Yes","Yes","Prohibited under 6 yrs"
"Turkey"," 2017","Yes","Yes","Not restricted"
"Turkmenistan"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Uganda"," 2017","Yes","Yes","Not restricted"
"Ukraine"," 2017","Yes","Yes","Prohibited under 12 yrs / 145 cm"
